session_id,subscriber_id,content_id,watch_date,watch_hour,watch_mins,completion_pct
WS00000232,S000005,C0357,2024-09-12,20,27,15.52
WS00000233,S000005,C0404,2024-02-11,19,19,35.19
WS00000234,S000005,C0183,2024-07-21,1,44,89.8
WS00000235,S000005,C0331,2024-08-09,19,58,56.31
WS00000236,S000005,C0360,2024-07-23,22,41,45.05
WS00000237,S000005,C0055,2024-08-10,10,15,30.0
WS00000238,S000005,C0172,2024-01-06,22,94,81.74
WS00000239,S000005,C0171,2024-09-24,5,15,50.0
WS00000240,S000005,C0180,2024-03-10,13,28,87.5
WS00000241,S000005,C0119,2024-08-09,22,17,70.83
WS00000242,S000005,C0458,2024-02-08,12,59,50.0
WS00000243,S000005,C0262,2024-11-06,16,12,7.14
WS00000244,S000005,C0376,2024-03-04,21,6,15.0
WS00000245,S000005,C0088,2024-01-04,10,87,95.6
WS00000246,S000005,C0360,2024-12-02,14,72,79.12
WS00000247,S000005,C0065,2024-03-06,4,44,81.48
WS00000248,S000005,C0289,2024-02-11,2,26,61.9
WS00000249,S000005,C0011,2024-03-18,21,46,95.83
WS00000250,S000005,C0278,2024-07-25,22,13,39.39
WS00000251,S000005,C0057,2024-10-13,12,23,63.89
WS00000252,S000005,C0168,2024-04-07,20,5,13.51
WS00000253,S000005,C0377,2024-09-16,0,26,96.3
WS00000254,S000005,C0174,2024-07-13,22,24,53.33
WS00000255,S000005,C0441,2024-11-02,8,20,13.51
WS00000256,S000005,C0083,2024-02-13,5,10,33.33
WS00000257,S000005,C0390,2024-08-08,21,9,22.5
WS00000258,S000005,C0499,2024-01-28,20,30,81.08
WS00000259,S000005,C0217,2024-09-08,23,11,20.37
WS00000260,S000006,C0159,2024-01-09,11,16,64.0
WS00000261,S000006,C0421,2024-08-01,5,32,74.42
WS00000262,S000006,C0405,2024-12-01,7,14,35.0
WS00000263,S000006,C0180,2024-05-08,6,30,93.75
WS00000264,S000006,C0485,2024-10-06,0,15,53.57
WS00000265,S000006,C0155,2024-08-19,22,28,84.85
WS00000266,S000006,C0295,2024-03-24,4,17,54.84
WS00000267,S000006,C0076,2024-09-17,0,73,74.49
WS00000268,S000006,C0394,2024-08-08,13,20,12.2
WS00000269,S000006,C0202,2024-04-27,1,33,91.67
WS00000270,S000006,C0197,2024-10-18,21,70,69.31
WS00000271,S000006,C0174,2024-01-09,2,43,95.56
WS00000272,S000006,C0335,2024-03-29,20,13,44.83
WS00000273,S000006,C0027,2024-06-23,22,114,67.86
WS00000274,S000006,C0378,2024-06-14,21,5,20.83
WS00000275,S000006,C0368,2024-12-28,7,40,97.56
WS00000276,S000006,C0433,2024-05-15,22,13,44.83
WS00000277,S000006,C0301,2024-10-28,17,7,21.21
WS00000278,S000006,C0272,2024-11-19,14,14,43.75
WS00000279,S000006,C0324,2024-11-26,14,6,12.24
WS00000280,S000006,C0247,2024-08-17,20,91,98.91
WS00000281,S000006,C0188,2024-04-06,14,5,10.64
WS00000282,S000006,C0165,2024-04-26,20,21,100.0
WS00000283,S000006,C0448,2024-11-22,13,21,60.0
WS00000284,S000006,C0411,2024-03-04,3,13,9.7
WS00000285,S000006,C0437,2024-12-14,20,41,100.0
WS00000286,S000006,C0225,2024-12-10,4,10,20.41
WS00000287,S000006,C0044,2024-12-25,16,31,72.09
WS00000288,S000006,C0107,2024-09-08,1,105,87.5
WS00000289,S000006,C0422,2024-02-18,5,45,41.28
WS00000290,S000006,C0065,2024-09-15,2,54,100.0
WS00000291,S000006,C0429,2024-06-12,22,38,86.36
WS00000292,S000006,C0138,2024-11-01,4,13,36.11
WS00000293,S000006,C0106,2024-10-29,9,85,49.71
WS00000294,S000006,C0409,2024-11-02,13,20,52.63
WS00000295,S000006,C0241,2024-07-01,10,93,52.54
WS00000296,S000006,C0489,2024-04-08,18,16,66.67
WS00000297,S000006,C0112,2024-07-29,19,36,21.82
WS00000298,S000006,C0354,2024-08-29,9,23,92.0
WS00000299,S000006,C0005,2024-04-25,14,30,21.74
WS00000300,S000006,C0189,2024-12-01,12,12,34.29
WS00000301,S000006,C0173,2024-01-05,8,5,14.71
WS00000302,S000006,C0405,2024-01-04,20,16,40.0
WS00000303,S000006,C0234,2024-10-08,18,13,35.14
WS00000304,S000006,C0477,2024-08-22,22,114,87.02
WS00000305,S000006,C0345,2024-08-09,10,86,60.99
WS00000306,S000006,C0214,2024-12-24,20,89,84.76
WS00000307,S000006,C0453,2024-09-11,17,18,64.29
WS00000308,S000006,C0326,2024-05-24,3,27,22.31
WS00000309,S000006,C0064,2024-12-15,21,24,100.0
WS00000310,S000006,C0419,2024-04-10,6,51,43.22
WS00000311,S000006,C0149,2024-04-14,6,12,40.0
WS00000312,S000006,C0428,2024-12-04,20,7,29.17
WS00000313,S000006,C0080,2024-08-12,21,35,32.41
WS00000314,S000006,C0469,2024-10-31,22,56,48.7
WS00000315,S000006,C0314,2024-11-29,0,54,37.5
WS00000316,S000006,C0040,2024-04-06,21,58,56.86
WS00000317,S000007,C0464,2024-01-30,10,60,39.74
WS00000318,S000007,C0418,2024-08-08,21,26,65.0
WS00000319,S000007,C0453,2024-04-13,13,5,17.86
WS00000320,S000007,C0498,2024-12-08,20,10,20.0
WS00000321,S000007,C0234,2024-11-02,9,22,59.46
WS00000322,S000007,C0428,2024-10-21,18,14,58.33
WS00000323,S000007,C0058,2024-12-23,20,80,46.51
WS00000324,S000007,C0301,2024-12-10,20,18,54.55
WS00000325,S000008,C0205,2024-05-26,11,42,77.78
WS00000326,S000008,C0233,2024-05-10,23,15,53.57
WS00000327,S000008,C0391,2024-08-06,10,27,87.1
WS00000328,S000008,C0034,2024-09-17,2,15,33.33
WS00000329,S000008,C0164,2024-07-02,0,9,26.47
WS00000330,S000008,C0349,2024-12-10,8,31,33.33
WS00000331,S000008,C0354,2024-04-14,8,19,76.0
WS00000332,S000008,C0438,2024-09-04,8,24,52.17
WS00000333,S000008,C0127,2024-04-24,13,38,45.78
WS00000334,S000008,C0242,2024-08-12,21,25,65.79
WS00000335,S000008,C0172,2024-11-06,2,40,34.78
WS00000336,S000008,C0050,2024-11-25,10,22,81.48
WS00000337,S000008,C0280,2024-02-28,8,16,59.26
WS00000338,S000008,C0222,2024-03-23,4,95,97.94
WS00000339,S000008,C0267,2024-05-07,20,22,68.75
WS00000340,S000008,C0418,2024-01-01,21,20,50.0
WS00000341,S000008,C0015,2024-06-22,22,84,67.74
WS00000342,S000008,C0193,2024-04-02,13,77,84.62
WS00000343,S000008,C0254,2024-05-18,8,110,99.1
WS00000344,S000008,C0306,2024-11-23,10,18,40.0
WS00000345,S000008,C0178,2024-08-24,16,25,96.15
WS00000346,S000008,C0078,2024-08-07,20,32,59.26
WS00000347,S000008,C0184,2024-05-03,11,119,88.81
WS00000348,S000008,C0406,2024-07-16,19,51,53.12
WS00000349,S000008,C0070,2024-03-27,5,11,55.0
WS00000350,S000008,C0193,2024-11-28,11,26,28.57
WS00000351,S000008,C0444,2024-08-15,6,22,88.0
WS00000352,S000008,C0044,2024-09-06,13,22,51.16
WS00000353,S000008,C0473,2024-06-21,9,21,16.28
WS00000354,S000008,C0392,2024-08-20,6,19,73.08
WS00000355,S000008,C0266,2024-12-22,0,62,37.58
WS00000356,S000008,C0035,2024-12-07,20,100,74.07
WS00000357,S000008,C0322,2024-03-13,8,37,90.24
WS00000358,S000008,C0223,2024-10-15,2,99,57.56
WS00000359,S000008,C0464,2024-06-27,21,67,44.37
WS00000360,S000008,C0291,2024-10-27,19,18,54.55
WS00000361,S000008,C0349,2024-04-24,1,76,81.72
WS00000362,S000008,C0334,2024-02-11,14,19,46.34
WS00000363,S000008,C0092,2024-05-14,22,72,41.38
WS00000364,S000008,C0151,2024-05-19,17,8,25.0
WS00000365,S000008,C0490,2024-07-23,5,15,35.71
WS00000366,S000008,C0070,2024-07-02,21,19,95.0
WS00000367,S000008,C0059,2024-08-11,2,7,26.92
WS00000368,S000008,C0493,2024-07-10,20,34,28.81
WS00000369,S000008,C0091,2024-10-02,20,6,17.14
WS00000370,S000008,C0465,2024-10-11,20,105,88.24
WS00000371,S000008,C0238,2024-11-24,12,44,83.02
WS00000372,S000008,C0103,2024-03-01,2,18,48.65
WS00000373,S000008,C0255,2024-06-07,16,25,14.12
WS00000374,S000008,C0405,2024-11-09,3,33,82.5
WS00000375,S000008,C0080,2024-07-31,20,13,12.04
WS00000376,S000008,C0165,2024-07-15,5,9,42.86
WS00000377,S000008,C0048,2024-02-01,19,12,13.79
WS00000378,S000008,C0077,2024-07-19,20,7,20.0
WS00000379,S000008,C0424,2024-02-26,22,20,71.43
WS00000380,S000008,C0083,2024-09-07,21,14,46.67
WS00000381,S000008,C0332,2024-12-25,10,34,89.47
WS00000382,S000008,C0357,2024-04-07,22,36,20.69
WS00000383,S000008,C0066,2024-10-14,7,11,22.45
WS00000384,S000009,C0022,2024-06-23,22,29,64.44
WS00000385,S000009,C0493,2024-01-09,13,48,40.68
WS00000386,S000009,C0485,2024-04-10,13,25,89.29
WS00000387,S000009,C0340,2024-10-26,23,10,31.25
WS00000388,S000009,C0498,2024-08-17,18,26,52.0
WS00000389,S000009,C0181,2024-11-18,13,109,100.0
WS00000390,S000009,C0392,2024-09-11,7,13,50.0
WS00000391,S000009,C0371,2024-07-06,21,101,81.45
WS00000392,S000009,C0388,2024-11-13,13,116,97.48
WS00000393,S000009,C0002,2024-06-26,21,131,85.06
WS00000394,S000010,C0341,2024-02-24,9,41,36.94
WS00000395,S000010,C0280,2024-10-24,12,21,77.78
WS00000396,S000010,C0396,2024-07-01,9,31,81.58
WS00000397,S000010,C0449,2024-03-12,0,16,30.19
WS00000398,S000010,C0420,2024-10-16,14,116,96.67
WS00000399,S000010,C0260,2024-02-28,20,15,12.82
WS00000400,S000010,C0268,2024-08-23,21,13,26.0
WS00000401,S000010,C0114,2024-11-30,21,17,47.22
WS00000402,S000010,C0168,2024-02-21,17,22,59.46
WS00000403,S000010,C0351,2024-03-24,7,66,64.71
WS00000404,S000010,C0353,2024-06-05,5,14,37.84
WS00000405,S000010,C0412,2024-05-02,21,30,100.0
WS00000406,S000010,C0287,2024-07-08,4,103,75.18
WS00000407,S000010,C0251,2024-07-16,9,31,86.11
WS00000408,S000010,C0265,2024-02-27,15,31,79.49
WS00000409,S000010,C0324,2024-12-01,5,28,57.14
WS00000410,S000010,C0451,2024-09-05,21,43,95.56
WS00000411,S000010,C0003,2024-02-20,11,16,76.19
WS00000412,S000010,C0323,2024-10-27,12,84,64.12
WS00000413,S000010,C0171,2024-06-03,1,22,73.33
WS00000414,S000010,C0146,2024-08-22,13,34,26.15
WS00000415,S000010,C0352,2024-07-08,12,7,20.59
WS00000416,S000010,C0433,2024-07-21,15,5,17.24
WS00000417,S000010,C0175,2024-10-21,12,13,61.9
WS00000418,S000010,C0093,2024-08-06,11,22,78.57
WS00000419,S000010,C0156,2024-08-18,8,29,87.88
WS00000420,S000010,C0272,2024-08-02,21,19,59.38
WS00000421,S000010,C0184,2024-10-28,20,39,29.1
WS00000422,S000010,C0247,2024-11-30,2,20,21.74
WS00000423,S000010,C0373,2024-01-18,3,8,21.62
WS00000424,S000011,C0184,2024-05-02,10,7,5.22
WS00000425,S000011,C0291,2024-04-12,22,13,39.39
WS00000426,S000011,C0149,2024-11-08,8,5,16.67
WS00000427,S000011,C0418,2024-08-13,23,27,67.5
WS00000428,S000011,C0248,2024-05-23,6,101,57.06
WS00000429,S000011,C0003,2024-11-12,20,17,80.95
WS00000430,S000011,C0018,2024-10-22,22,70,81.4
WS00000431,S000011,C0408,2024-03-10,19,6,16.22
WS00000432,S000011,C0185,2024-11-08,10,53,100.0
WS00000433,S000011,C0076,2024-01-16,21,25,25.51
WS00000434,S000011,C0059,2024-09-11,8,7,26.92
WS00000435,S000011,C0157,2024-01-10,21,36,30.25
WS00000436,S000011,C0219,2024-03-17,12,33,73.33
WS00000437,S000011,C0027,2024-10-11,7,157,93.45
WS00000438,S000011,C0399,2024-10-20,14,34,77.27
WS00000439,S000011,C0306,2024-06-11,14,11,24.44
WS00000440,S000011,C0343,2024-04-16,13,9,7.89
WS00000441,S000011,C0287,2024-06-29,22,101,73.72
WS00000442,S000011,C0086,2024-03-05,19,32,76.19
WS00000443,S000011,C0103,2024-05-30,11,28,75.68
WS00000444,S000012,C0007,2024-01-04,17,81,68.64
WS00000445,S000012,C0466,2024-02-21,21,108,66.67
WS00000446,S000012,C0048,2024-06-30,23,70,80.46
WS00000447,S000012,C0208,2024-10-22,15,8,38.1
WS00000448,S000012,C0163,2024-07-21,13,9,31.03
WS00000449,S000012,C0230,2024-12-14,6,11,47.83
WS00000450,S000012,C0434,2024-03-18,11,34,64.15
WS00000451,S000012,C0116,2024-02-05,22,102,78.46
WS00000452,S000012,C0285,2024-11-19,7,40,78.43
WS00000453,S000012,C0055,2024-11-08,23,19,38.0
WS00000454,S000012,C0343,2024-11-07,4,59,51.75
WS00000455,S000012,C0365,2024-03-28,12,6,23.08
WS00000456,S000012,C0390,2024-09-26,12,24,60.0
WS00000457,S000012,C0460,2024-07-03,14,75,79.79
WS00000458,S000012,C0208,2024-05-21,19,12,57.14
WS00000459,S000012,C0284,2024-05-11,22,10,23.26
WS00000460,S000012,C0323,2024-04-11,8,14,10.69
WS00000461,S000012,C0429,2024-04-09,16,15,34.09
WS00000462,S000012,C0236,2024-02-24,21,17,77.27
WS00000463,S000012,C0299,2024-11-19,14,77,95.06
WS00000464,S000012,C0370,2024-09-15,9,19,95.0
WS00000465,S000012,C0145,2024-02-08,9,84,49.12
WS00000466,S000012,C0097,2024-03-16,15,81,73.64
WS00000467,S000012,C0278,2024-01-08,20,12,36.36
WS00000468,S000012,C0199,2024-01-18,3,52,98.11
WS00000469,S000012,C0253,2024-08-24,5,8,25.81
WS00000470,S000012,C0368,2024-09-14,11,41,100.0
WS00000471,S000012,C0085,2024-11-28,21,43,24.57
WS00000472,S000012,C0206,2024-01-13,4,22,91.67
WS00000473,S000012,C0040,2024-04-10,16,93,91.18
WS00000474,S000012,C0455,2024-01-10,15,52,98.11
WS00000475,S000012,C0310,2024-05-31,20,39,34.82
WS00000476,S000012,C0459,2024-07-20,21,24,57.14
WS00000477,S000012,C0412,2024-06-03,12,27,90.0
WS00000478,S000012,C0099,2024-07-04,2,24,61.54
WS00000479,S000013,C0113,2024-02-03,1,21,38.89
WS00000480,S000013,C0196,2024-05-02,16,27,75.0
