content_id,title,genre,content_type,release_year,duration_mins,language,production_cost
C0051,Drama Title 51,Drama,Series,2022,52,Telugu,36261379.71
C0052,Comedy Title 52,Comedy,Series,2021,36,Telugu,23762253.44
C0053,Documentary Title 53,Documentary,Documentary,2022,43,English,27861865.86
C0054,Comedy Title 54,Comedy,Short Film,2025,40,English,16187639.26
C0055,Thriller Title 55,Thriller,Series,2023,50,Hindi,46535833.32
C0056,Horror Title 56,Horror,Movie,2023,126,Hindi,13081100.63
C0057,Reality Title 57,Reality,Documentary,2025,36,English,7262755.91
C0058,Romance Title 58,Romance,Movie,2019,172,Hindi,40600613.04
C0059,Animation Title 59,Animation,Series,2018,26,Telugu,40015611.36
C0060,Drama Title 60,Drama,Movie,2023,95,Telugu,44387548.87
C0061,Thriller Title 61,Thriller,Movie,2024,166,Kannada,16743557.04
C0062,Reality Title 62,Reality,Series,2019,41,Hindi,2009762.37
C0063,Action Title 63,Action,Movie,2023,94,Tamil,6789495.38
C0064,Drama Title 64,Drama,Documentary,2024,24,Telugu,42180142.21
C0065,Action Title 65,Action,Series,2024,54,Telugu,7070898.4
C0066,Thriller Title 66,Thriller,Series,2020,49,English,20241634.62
C0067,Comedy Title 67,Comedy,Series,2022,45,Hindi,48151096.53
C0068,Sci-Fi Title 68,Sci-Fi,Series,2022,31,English,9078068.84
C0069,Drama Title 69,Drama,Series,2023,51,Kannada,35872498.17
C0070,Horror Title 70,Horror,Short Film,2025,20,Bengali,37025897.38
C0071,Documentary Title 71,Documentary,Series,2021,22,Hindi,18120647.59
C0072,Documentary Title 72,Documentary,Movie,2023,108,Telugu,2777130.78
C0073,Drama Title 73,Drama,Movie,2021,141,Bengali,23971604.54
C0074,Reality Title 74,Reality,Documentary,2024,40,Telugu,9073492.56
C0075,Documentary Title 75,Documentary,Movie,2023,89,Bengali,44390679.17
C0076,Action Title 76,Action,Movie,2019,98,English,27199183.7
C0077,Action Title 77,Action,Series,2024,35,Hindi,1812309.87
C0078,Action Title 78,Action,Series,2021,54,English,23183518.08
C0079,Comedy Title 79,Comedy,Documentary,2020,31,English,48078932.91
C0080,Reality Title 80,Reality,Movie,2022,108,Telugu,5488511.07
C0081,Thriller Title 81,Thriller,Movie,2024,114,English,32958270.45
C0082,Reality Title 82,Reality,Series,2020,53,English,25053853.99
C0083,Reality Title 83,Reality,Series,2022,30,Telugu,21188328.57
C0084,Animation Title 84,Animation,Series,2025,28,Tamil,49530004.53
C0085,Action Title 85,Action,Movie,2025,175,Kannada,28312401.26
C0086,Drama Title 86,Drama,Series,2018,42,Tamil,5604631.51
C0087,Drama Title 87,Drama,Series,2025,39,English,16342455.25
C0088,Comedy Title 88,Comedy,Movie,2022,91,English,42433585.63
C0089,Animation Title 89,Animation,Movie,2024,157,Telugu,28885175.46
C0090,Documentary Title 90,Documentary,Movie,2018,91,Telugu,33789663.58
C0091,Action Title 91,Action,Short Film,2018,35,Bengali,46580990.73
C0092,Reality Title 92,Reality,Movie,2019,174,Bengali,36983260.06
C0093,Thriller Title 93,Thriller,Short Film,2019,28,Hindi,31101794.13
C0094,Romance Title 94,Romance,Movie,2025,92,Hindi,20134254.3
C0095,Reality Title 95,Reality,Movie,2022,108,Kannada,49338659.14
C0096,Drama Title 96,Drama,Documentary,2024,36,English,29798492.57
C0097,Action Title 97,Action,Movie,2020,110,Bengali,19210385.71
C0098,Sci-Fi Title 98,Sci-Fi,Series,2020,45,Kannada,24884942.66
C0099,Thriller Title 99,Thriller,Series,2021,39,Bengali,41228122.42
C0100,Sci-Fi Title 100,Sci-Fi,Series,2021,32,Kannada,20311033.2
C0101,Drama Title 101,Drama,Movie,2023,112,Bengali,48179515.7
C0102,Documentary Title 102,Documentary,Movie,2020,164,Telugu,4152929.95
C0103,Comedy Title 103,Comedy,Series,2024,37,English,11232050.78
C0104,Drama Title 104,Drama,Series,2025,22,English,45805089.91
C0105,Reality Title 105,Reality,Short Film,2023,27,Telugu,5784425.26
C0106,Documentary Title 106,Documentary,Movie,2021,171,Hindi,19719285.01
C0107,Thriller Title 107,Thriller,Movie,2021,120,Tamil,35059004.84
C0108,Drama Title 108,Drama,Movie,2022,163,Telugu,13912403.3
C0109,Comedy Title 109,Comedy,Documentary,2020,37,Bengali,30864052.2
C0110,Thriller Title 110,Thriller,Movie,2019,109,Tamil,2738324.17
C0111,Sci-Fi Title 111,Sci-Fi,Series,2019,20,English,19148579.01
C0112,Reality Title 112,Reality,Movie,2020,165,Tamil,28669532.72
C0113,Drama Title 113,Drama,Series,2024,54,English,1176762.26
C0114,Sci-Fi Title 114,Sci-Fi,Documentary,2022,36,Bengali,49833523.44
C0115,Documentary Title 115,Documentary,Series,2019,29,Tamil,12743731.04
C0116,Animation Title 116,Animation,Movie,2022,130,Bengali,10757768.63
C0117,Drama Title 117,Drama,Series,2019,51,Telugu,13799287.86
C0118,Sci-Fi Title 118,Sci-Fi,Series,2023,53,Kannada,41652888.76
C0119,Thriller Title 119,Thriller,Documentary,2023,24,Kannada,39694983.05
C0120,Drama Title 120,Drama,Movie,2024,126,Bengali,31205322.79
C0121,Thriller Title 121,Thriller,Documentary,2023,53,Hindi,29700925.5
C0122,Comedy Title 122,Comedy,Short Film,2025,52,Telugu,15248992.85
C0123,Reality Title 123,Reality,Documentary,2022,24,Telugu,23237666.99
C0124,Drama Title 124,Drama,Series,2025,39,Bengali,49011612.48
C0125,Documentary Title 125,Documentary,Movie,2025,122,Tamil,4255234.74
C0126,Animation Title 126,Animation,Series,2024,35,Tamil,7371945.05
C0127,Horror Title 127,Horror,Movie,2025,83,English,44891026.29
C0128,Comedy Title 128,Comedy,Series,2019,51,Bengali,10018306.43
C0129,Comedy Title 129,Comedy,Documentary,2021,37,Hindi,9262018.97
C0130,Documentary Title 130,Documentary,Series,2018,24,Telugu,10713519.06
C0131,Thriller Title 131,Thriller,Movie,2022,169,Tamil,2445950.92
C0132,Animation Title 132,Animation,Series,2024,41,Kannada,8270395.29
C0133,Drama Title 133,Drama,Movie,2025,80,English,30065265.07
C0134,Action Title 134,Action,Movie,2023,135,Kannada,31103611.19
C0135,Sci-Fi Title 135,Sci-Fi,Series,2022,21,Hindi,2315818.54
C0136,Horror Title 136,Horror,Movie,2024,82,Kannada,37606003.48
C0137,Thriller Title 137,Thriller,Series,2020,54,English,37001557.7
C0138,Reality Title 138,Reality,Series,2024,36,Kannada,16711118.93
C0139,Animation Title 139,Animation,Documentary,2018,39,Telugu,18077663.01
C0140,Animation Title 140,Animation,Series,2019,41,English,28440697.85
C0141,Reality Title 141,Reality,Movie,2021,85,Hindi,30573983.5
C0142,Horror Title 142,Horror,Series,2022,25,English,12242726.19
C0143,Romance Title 143,Romance,Movie,2024,149,Telugu,42615467.13
C0144,Horror Title 144,Horror,Documentary,2020,22,Bengali,49127741.54
C0145,Romance Title 145,Romance,Movie,2020,171,Telugu,762350.32
C0146,Romance Title 146,Romance,Movie,2023,130,English,36063634.91
C0147,Horror Title 147,Horror,Series,2023,24,Hindi,16522122.2
C0148,Comedy Title 148,Comedy,Movie,2018,99,Telugu,6184422.82
C0149,Reality Title 149,Reality,Documentary,2024,30,Telugu,16371788.51
C0150,Comedy Title 150,Comedy,Movie,2025,129,Hindi,27655854.34
C0151,Reality Title 151,Reality,Short Film,2025,32,Hindi,4849471.51
C0152,Documentary Title 152,Documentary,Movie,2020,88,Kannada,20886125.25
C0153,Drama Title 153,Drama,Documentary,2022,33,Tamil,46947852.61
C0154,Comedy Title 154,Comedy,Movie,2025,119,Kannada,2880684.88
C0155,Horror Title 155,Horror,Documentary,2021,33,Kannada,41344067.5
C0156,Documentary Title 156,Documentary,Documentary,2019,33,Kannada,18262108.96
C0157,Reality Title 157,Reality,Movie,2025,119,Kannada,45033538.54
C0158,Romance Title 158,Romance,Series,2018,34,English,18090441.37
C0159,Sci-Fi Title 159,Sci-Fi,Series,2023,25,Tamil,31571548.63
C0160,Horror Title 160,Horror,Series,2024,34,Bengali,25023469.51
C0161,Sci-Fi Title 161,Sci-Fi,Series,2023,48,English,15930242.36
C0162,Documentary Title 162,Documentary,Documentary,2023,52,Telugu,28709539.4
C0163,Reality Title 163,Reality,Series,2018,29,Kannada,41152236.58
C0164,Action Title 164,Action,Series,2022,34,Bengali,24574695.36
C0165,Action Title 165,Action,Series,2020,21,Tamil,34850448.0
C0166,Action Title 166,Action,Series,2022,46,Telugu,9489086.98
C0167,Reality Title 167,Reality,Movie,2025,85,Hindi,47390525.31
C0168,Reality Title 168,Reality,Series,2018,37,English,1396454.1
C0169,Action Title 169,Action,Short Film,2025,24,Bengali,35508312.4
C0170,Reality Title 170,Reality,Documentary,2019,50,English,21494468.23
C0171,Horror Title 171,Horror,Documentary,2024,30,English,6105283.27
C0172,Documentary Title 172,Documentary,Movie,2023,115,English,16941247.43
C0173,Romance Title 173,Romance,Series,2022,34,English,37340357.77
C0174,Reality Title 174,Reality,Documentary,2018,45,Tamil,20209350.33
C0175,Animation Title 175,Animation,Documentary,2024,21,Hindi,24301430.42
C0176,Drama Title 176,Drama,Series,2018,43,Telugu,21236809.75
C0177,Horror Title 177,Horror,Movie,2024,108,Tamil,31797082.25
C0178,Thriller Title 178,Thriller,Series,2018,26,Telugu,23219954.91
C0179,Action Title 179,Action,Series,2024,47,Bengali,9630912.14
C0180,Sci-Fi Title 180,Sci-Fi,Series,2023,32,Tamil,10890326.86
C0181,Comedy Title 181,Comedy,Movie,2022,109,English,2309208.56
C0182,Horror Title 182,Horror,Series,2023,20,Tamil,22937797.32
C0183,Thriller Title 183,Thriller,Series,2023,49,Tamil,8184392.17
C0184,Drama Title 184,Drama,Movie,2024,134,Tamil,18978811.16
C0185,Reality Title 185,Reality,Documentary,2021,53,English,1756624.61
C0186,Thriller Title 186,Thriller,Documentary,2018,27,English,11487622.02
C0187,Horror Title 187,Horror,Movie,2023,151,English,40095846.23
C0188,Comedy Title 188,Comedy,Documentary,2024,47,Hindi,40363090.88
C0189,Horror Title 189,Horror,Series,2021,35,Telugu,33570214.26
C0190,Documentary Title 190,Documentary,Series,2024,37,Hindi,4732672.28
C0191,Sci-Fi Title 191,Sci-Fi,Documentary,2021,38,Bengali,21360515.25
C0192,Thriller Title 192,Thriller,Short Film,2021,24,Tamil,13341459.95
C0193,Thriller Title 193,Thriller,Movie,2021,91,Bengali,17587011.17
C0194,Animation Title 194,Animation,Series,2021,54,Hindi,38298486.81
C0195,Horror Title 195,Horror,Movie,2025,109,Tamil,44780335.23
C0196,Drama Title 196,Drama,Series,2023,36,English,27310893.63
C0197,Animation Title 197,Animation,Movie,2020,101,Kannada,49227907.94
C0198,Reality Title 198,Reality,Short Film,2024,53,Bengali,1410338.49
C0199,Thriller Title 199,Thriller,Series,2018,53,Bengali,32745309.22
C0200,Reality Title 200,Reality,Series,2022,41,Tamil,45050922.77
C0201,Romance Title 201,Romance,Series,2021,53,Bengali,33419315.39
C0202,Sci-Fi Title 202,Sci-Fi,Series,2019,36,Bengali,19465357.15
C0203,Reality Title 203,Reality,Series,2021,21,Kannada,37032664.01
C0204,Comedy Title 204,Comedy,Movie,2022,105,Bengali,41935410.04
C0205,Action Title 205,Action,Series,2023,54,Hindi,20134143.97
C0206,Horror Title 206,Horror,Short Film,2025,24,English,13860605.51
C0207,Action Title 207,Action,Movie,2023,160,Tamil,30043721.02
C0208,Thriller Title 208,Thriller,Series,2022,21,English,4219320.2
C0209,Drama Title 209,Drama,Series,2024,44,Tamil,41045564.72
C0210,Documentary Title 210,Documentary,Movie,2023,130,Kannada,29716418.01
C0211,Comedy Title 211,Comedy,Movie,2020,138,English,7272522.23
C0212,Reality Title 212,Reality,Series,2023,31,Tamil,36745131.88
C0213,Documentary Title 213,Documentary,Documentary,2023,35,English,45216508.73
C0214,Reality Title 214,Reality,Movie,2024,105,Hindi,29619055.97
C0215,Drama Title 215,Drama,Movie,2023,164,Hindi,15986315.4
C0216,Documentary Title 216,Documentary,Series,2019,27,Tamil,47241191.21
C0217,Thriller Title 217,Thriller,Series,2019,54,Tamil,41531315.97
C0218,Drama Title 218,Drama,Series,2020,43,Telugu,6468060.85
C0219,Thriller Title 219,Thriller,Documentary,2024,45,Telugu,28835174.09
C0220,Horror Title 220,Horror,Series,2023,48,English,37023860.46
C0221,Drama Title 221,Drama,Documentary,2024,21,Tamil,43569894.26
C0222,Sci-Fi Title 222,Sci-Fi,Movie,2025,97,Tamil,3966470.43
C0223,Action Title 223,Action,Movie,2023,172,Bengali,24249175.68
C0224,Horror Title 224,Horror,Movie,2023,89,English,17150337.96
C0225,Action Title 225,Action,Series,2018,49,Tamil,23631882.94
C0226,Horror Title 226,Horror,Movie,2019,147,Kannada,29660872.46
C0227,Drama Title 227,Drama,Short Film,2018,34,English,19885691.96
C0228,Action Title 228,Action,Movie,2022,116,Bengali,4925844.61
C0229,Romance Title 229,Romance,Short Film,2020,43,Kannada,30863863.77
C0230,Animation Title 230,Animation,Series,2020,23,Telugu,41972373.9
C0231,Romance Title 231,Romance,Series,2020,29,Hindi,19512485.27
C0232,Animation Title 232,Animation,Movie,2025,82,Kannada,40138099.51
C0233,Romance Title 233,Romance,Short Film,2020,28,Telugu,49747937.22
C0234,Reality Title 234,Reality,Series,2023,37,English,8117847.36
C0235,Comedy Title 235,Comedy,Movie,2018,168,Telugu,29214267.29
C0236,Thriller Title 236,Thriller,Series,2020,22,Telugu,24095503.0
C0237,Comedy Title 237,Comedy,Short Film,2019,31,English,16788042.59
C0238,Animation Title 238,Animation,Series,2025,53,Telugu,18948081.59
C0239,Horror Title 239,Horror,Series,2019,45,Kannada,48125037.64
C0240,Documentary Title 240,Documentary,Short Film,2023,51,Bengali,45372429.11
C0241,Comedy Title 241,Comedy,Movie,2025,177,Tamil,43292397.58
C0242,Drama Title 242,Drama,Documentary,2025,38,Telugu,42603795.59
C0243,Animation Title 243,Animation,Movie,2018,124,Bengali,34166968.2
C0244,Romance Title 244,Romance,Movie,2020,84,Bengali,43656254.62
C0245,Comedy Title 245,Comedy,Documentary,2025,29,Tamil,11816945.5
C0246,Sci-Fi Title 246,Sci-Fi,Movie,2019,179,Kannada,37953472.29
C0247,Sci-Fi Title 247,Sci-Fi,Movie,2023,92,Tamil,49068715.81
C0248,Drama Title 248,Drama,Movie,2021,177,Bengali,39102347.06
C0249,Romance Title 249,Romance,Movie,2019,150,English,48168104.19
C0250,Documentary Title 250,Documentary,Movie,2021,147,Telugu,3857934.43
C0251,Drama Title 251,Drama,Documentary,2019,36,Kannada,17621211.32
C0252,Reality Title 252,Reality,Movie,2019,161,Kannada,48687703.97
C0253,Action Title 253,Action,Series,2024,31,Bengali,1595115.8
C0254,Romance Title 254,Romance,Movie,2020,111,Tamil,34323121.14
C0255,Reality Title 255,Reality,Movie,2022,177,Telugu,21595974.46
C0256,Animation Title 256,Animation,Movie,2022,108,Tamil,11428095.83
C0257,Thriller Title 257,Thriller,Documentary,2023,39,Tamil,14026346.59
C0258,Drama Title 258,Drama,Short Film,2022,47,Bengali,45521463.29
C0259,Documentary Title 259,Documentary,Series,2020,25,English,22393788.74
C0260,Drama Title 260,Drama,Movie,2024,117,Hindi,11048682.85
C0261,Drama Title 261,Drama,Series,2019,31,Telugu,23923890.38
C0262,Horror Title 262,Horror,Movie,2018,168,Bengali,38941544.21
C0263,Thriller Title 263,Thriller,Documentary,2022,22,Telugu,2110045.88
C0264,Reality Title 264,Reality,Series,2018,34,Kannada,6306755.35
C0265,Drama Title 265,Drama,Series,2021,39,English,10425973.97
C0266,Animation Title 266,Animation,Movie,2023,165,Bengali,13815173.52
C0267,Horror Title 267,Horror,Series,2018,32,Bengali,4086120.95
C0268,Thriller Title 268,Thriller,Series,2023,50,Tamil,34901603.36
C0269,Drama Title 269,Drama,Short Film,2020,27,Kannada,37583501.14
C0270,Animation Title 270,Animation,Movie,2025,125,Kannada,31098708.85
C0271,Action Title 271,Action,Movie,2025,119,Hindi,16659834.76
C0272,Thriller Title 272,Thriller,Series,2023,32,English,41313445.32
C0273,Reality Title 273,Reality,Movie,2023,145,Hindi,34628515.97
C0274,Thriller Title 274,Thriller,Documentary,2022,30,Tamil,44862954.48
C0275,Animation Title 275,Animation,Short Film,2025,50,English,35598495.71
C0276,Horror Title 276,Horror,Short Film,2023,47,Telugu,17302784.53
C0277,Sci-Fi Title 277,Sci-Fi,Series,2021,35,Kannada,40956239.61
C0278,Reality Title 278,Reality,Series,2020,33,Hindi,3487428.16
C0279,Sci-Fi Title 279,Sci-Fi,Series,2022,44,Tamil,11351092.37
C0280,Sci-Fi Title 280,Sci-Fi,Series,2022,27,Bengali,33106034.89
C0281,Comedy Title 281,Comedy,Movie,2019,149,Tamil,11808509.7
C0282,Horror Title 282,Horror,Short Film,2021,22,Hindi,20461437.38
C0283,Romance Title 283,Romance,Movie,2024,176,Telugu,9122570.16
C0284,Documentary Title 284,Documentary,Series,2021,43,Bengali,17623782.13
C0285,Action Title 285,Action,Series,2018,51,Telugu,1955025.06
C0286,Thriller Title 286,Thriller,Series,2024,21,Hindi,39751326.68
C0287,Sci-Fi Title 287,Sci-Fi,Movie,2023,137,Bengali,10927778.36
C0288,Thriller Title 288,Thriller,Series,2018,34,Tamil,38912010.25
C0289,Action Title 289,Action,Short Film,2019,42,Telugu,18956007.54
C0290,Thriller Title 290,Thriller,Movie,2023,148,Bengali,22139686.75
C0291,Romance Title 291,Romance,Documentary,2025,33,English,33299753.31
C0292,Sci-Fi Title 292,Sci-Fi,Movie,2018,168,Telugu,13277604.92
C0293,Documentary Title 293,Documentary,Movie,2025,144,Telugu,6978246.21
C0294,Sci-Fi Title 294,Sci-Fi,Series,2019,30,Tamil,22380206.5
C0295,Reality Title 295,Reality,Series,2023,31,English,21828932.42
C0296,Action Title 296,Action,Series,2018,31,English,8768574.44
C0297,Action Title 297,Action,Movie,2024,116,Bengali,26908840.3
C0298,Drama Title 298,Drama,Documentary,2024,47,Kannada,10689139.9
C0299,Action Title 299,Action,Movie,2018,81,Bengali,46861981.77
C0300,Drama Title 300,Drama,Movie,2022,149,Bengali,4883501.42
C0301,Drama Title 301,Drama,Series,2021,33,Hindi,20170259.93
C0302,Thriller Title 302,Thriller,Short Film,2018,53,Hindi,48668338.53
C0303,Sci-Fi Title 303,Sci-Fi,Series,2021,42,Kannada,7412737.11
C0304,Action Title 304,Action,Series,2019,27,Bengali,5148085.43
C0305,Horror Title 305,Horror,Movie,2024,84,Kannada,13137672.97
C0306,Drama Title 306,Drama,Documentary,2020,45,Hindi,1367041.55
C0307,Thriller Title 307,Thriller,Series,2024,27,English,2004159.45
C0308,Horror Title 308,Horror,Documentary,2018,23,English,11175920.04
C0309,Documentary Title 309,Documentary,Series,2023,45,Telugu,8384728.54
C0310,Romance Title 310,Romance,Movie,2018,112,English,43602295.79
C0311,Animation Title 311,Animation,Movie,2018,110,Tamil,43986520.28
C0312,Romance Title 312,Romance,Movie,2023,98,Hindi,38233114.17
C0313,Animation Title 313,Animation,Movie,2018,154,Kannada,27452210.35
C0314,Animation Title 314,Animation,Movie,2021,144,Hindi,20110548.23
C0315,Documentary Title 315,Documentary,Movie,2018,172,English,12258434.48
C0316,Drama Title 316,Drama,Series,2020,45,Tamil,8837997.06
C0317,Reality Title 317,Reality,Documentary,2020,28,Bengali,43235015.65
C0318,Thriller Title 318,Thriller,Series,2019,48,English,19319683.13
C0319,Thriller Title 319,Thriller,Series,2021,34,Telugu,30591302.09
C0320,Sci-Fi Title 320,Sci-Fi,Documentary,2024,40,Tamil,874362.31
C0321,Documentary Title 321,Documentary,Documentary,2021,44,Tamil,19313688.19
C0322,Action Title 322,Action,Short Film,2020,41,Hindi,8733414.58
C0323,Action Title 323,Action,Movie,2023,131,Tamil,46515490.93
C0324,Comedy Title 324,Comedy,Series,2019,49,Hindi,13994888.04
C0325,Action Title 325,Action,Documentary,2020,49,Telugu,9481198.21
C0326,Sci-Fi Title 326,Sci-Fi,Movie,2022,121,Hindi,45928748.21
C0327,Action Title 327,Action,Series,2023,26,English,18988729.31
C0328,Reality Title 328,Reality,Movie,2024,92,Kannada,41049848.54
C0329,Romance Title 329,Romance,Series,2018,45,Hindi,9151285.42
C0330,Animation Title 330,Animation,Documentary,2025,27,English,12225092.67
C0331,Documentary Title 331,Documentary,Movie,2020,103,Telugu,21475043.56
C0332,Reality Title 332,Reality,Documentary,2021,38,Hindi,22862500.1
C0333,Thriller Title 333,Thriller,Movie,2020,128,Telugu,43208455.34
C0334,Sci-Fi Title 334,Sci-Fi,Series,2025,41,Bengali,32277589.27
C0335,Sci-Fi Title 335,Sci-Fi,Series,2018,29,Kannada,31784766.56
C0336,Animation Title 336,Animation,Series,2025,21,Tamil,30053822.39
C0337,Thriller Title 337,Thriller,Series,2024,30,Telugu,41025999.33
C0338,Action Title 338,Action,Series,2024,51,Bengali,4431258.76
C0339,Horror Title 339,Horror,Series,2018,22,English,11719491.91
C0340,Animation Title 340,Animation,Series,2018,32,Telugu,3846821.9
C0341,Documentary Title 341,Documentary,Movie,2022,111,Kannada,29844193.59
C0342,Comedy Title 342,Comedy,Series,2023,22,Kannada,3090774.35
C0343,Thriller Title 343,Thriller,Movie,2019,114,Kannada,17011692.7
C0344,Romance Title 344,Romance,Series,2022,24,Bengali,34655242.1
C0345,Animation Title 345,Animation,Movie,2023,141,English,41179418.97
C0346,Drama Title 346,Drama,Movie,2021,87,Tamil,46395302.06
C0347,Sci-Fi Title 347,Sci-Fi,Movie,2021,84,Telugu,12561007.45
C0348,Documentary Title 348,Documentary,Movie,2019,101,English,30620077.43
C0349,Romance Title 349,Romance,Movie,2021,93,English,11754186.35
C0350,Thriller Title 350,Thriller,Movie,2020,81,English,27913210.92
C0351,Comedy Title 351,Comedy,Movie,2019,102,Telugu,43730164.76
C0352,Romance Title 352,Romance,Short Film,2023,34,Telugu,42645535.41
C0353,Reality Title 353,Reality,Series,2022,37,Tamil,33878038.42
C0354,Reality Title 354,Reality,Documentary,2020,25,Telugu,41027382.7
C0355,Documentary Title 355,Documentary,Movie,2019,170,Tamil,17631936.46
C0356,Action Title 356,Action,Series,2018,29,Hindi,7059971.3
C0357,Romance Title 357,Romance,Movie,2023,174,English,30509520.42
C0358,Romance Title 358,Romance,Documentary,2020,22,English,41347437.99
C0359,Documentary Title 359,Documentary,Movie,2019,100,Telugu,7190731.31
C0360,Action Title 360,Action,Movie,2025,91,Telugu,15934898.59
C0361,Action Title 361,Action,Series,2025,25,Bengali,1375546.58
C0362,Thriller Title 362,Thriller,Series,2024,38,Tamil,28439833.99
C0363,Thriller Title 363,Thriller,Series,2023,21,Tamil,37835550.45
C0364,Horror Title 364,Horror,Movie,2020,166,English,7541343.75
C0365,Animation Title 365,Animation,Documentary,2025,26,Telugu,31093557.88
C0366,Action Title 366,Action,Short Film,2022,36,Telugu,15659554.23
C0367,Action Title 367,Action,Series,2024,54,Tamil,20999422.75
C0368,Sci-Fi Title 368,Sci-Fi,Series,2022,41,Kannada,12804722.76
C0369,Documentary Title 369,Documentary,Movie,2022,158,Hindi,34208253.95
C0370,Horror Title 370,Horror,Series,2022,20,Bengali,41798016.61
C0371,Documentary Title 371,Documentary,Movie,2025,124,Telugu,18884724.1
C0372,Drama Title 372,Drama,Series,2021,40,Bengali,24667936.28
C0373,Action Title 373,Action,Documentary,2025,37,Tamil,19106470.11
C0374,Action Title 374,Action,Documentary,2019,40,Bengali,7090677.71
C0375,Drama Title 375,Drama,Series,2019,20,Telugu,4282634.54
C0376,Drama Title 376,Drama,Documentary,2021,40,Tamil,25024879.12
C0377,Horror Title 377,Horror,Documentary,2018,27,English,3799276.01
C0378,Horror Title 378,Horror,Documentary,2025,24,Telugu,25854985.08
C0379,Documentary Title 379,Documentary,Movie,2018,151,Tamil,33122258.94
C0380,Comedy Title 380,Comedy,Movie,2018,103,Bengali,25674674.83
C0381,Horror Title 381,Horror,Movie,2020,179,Telugu,38845349.79
C0382,Sci-Fi Title 382,Sci-Fi,Documentary,2022,24,Kannada,41611455.59
