revenue_id,subscriber_id,month,amount,plan_type
258,S000046,2024-04,699,Premium
259,S000046,2024-05,699,Premium
260,S000046,2024-06,699,Premium
261,S000046,2024-07,699,Premium
262,S000047,2024-02,199,Basic
263,S000047,2024-03,199,Basic
264,S000047,2024-04,199,Basic
265,S000047,2024-05,199,Basic
266,S000047,2024-06,199,Basic
267,S000047,2024-07,199,Basic
268,S000047,2024-08,199,Basic
269,S000047,2024-09,199,Basic
270,S000047,2024-10,199,Basic
271,S000047,2024-11,199,Basic
272,S000047,2024-12,199,Basic
273,S000048,2024-02,199,Basic
274,S000048,2024-03,199,Basic
275,S000048,2024-04,199,Basic
276,S000048,2024-05,199,Basic
277,S000048,2024-06,199,Basic
278,S000048,2024-07,199,Basic
279,S000048,2024-08,199,Basic
280,S000048,2024-09,199,Basic
281,S000048,2024-10,199,Basic
282,S000048,2024-11,199,Basic
283,S000048,2024-12,199,Basic
284,S000049,2024-10,199,Basic
285,S000049,2024-11,199,Basic
286,S000049,2024-12,199,Basic
287,S000050,2024-08,199,Basic
288,S000050,2024-09,199,Basic
289,S000050,2024-10,199,Basic
290,S000050,2024-11,199,Basic
291,S000050,2024-12,199,Basic
292,S000051,2024-07,399,Standard
293,S000051,2024-08,399,Standard
294,S000051,2024-09,399,Standard
295,S000051,2024-10,399,Standard
296,S000052,2024-11,699,Premium
297,S000052,2024-12,699,Premium
298,S000053,2024-05,199,Basic
299,S000053,2024-06,199,Basic
300,S000053,2024-07,199,Basic
301,S000053,2024-08,199,Basic
302,S000053,2024-09,199,Basic
303,S000053,2024-10,199,Basic
304,S000053,2024-11,199,Basic
305,S000053,2024-12,199,Basic
306,S000054,2024-11,699,Premium
307,S000054,2024-12,699,Premium
308,S000055,2024-06,699,Premium
309,S000055,2024-07,699,Premium
310,S000055,2024-08,699,Premium
311,S000055,2024-09,699,Premium
312,S000056,2024-06,399,Standard
313,S000056,2024-07,399,Standard
314,S000056,2024-08,399,Standard
315,S000056,2024-09,399,Standard
316,S000056,2024-10,399,Standard
317,S000056,2024-11,399,Standard
318,S000056,2024-12,399,Standard
319,S000057,2024-01,199,Basic
320,S000057,2024-02,199,Basic
321,S000057,2024-03,199,Basic
322,S000057,2024-04,199,Basic
323,S000057,2024-05,199,Basic
324,S000057,2024-06,199,Basic
325,S000057,2024-07,199,Basic
326,S000057,2024-08,199,Basic
327,S000057,2024-09,199,Basic
328,S000057,2024-10,199,Basic
329,S000057,2024-11,199,Basic
330,S000057,2024-12,199,Basic
331,S000058,2024-07,699,Premium
332,S000058,2024-08,699,Premium
333,S000058,2024-09,699,Premium
334,S000058,2024-10,699,Premium
335,S000058,2024-11,699,Premium
336,S000058,2024-12,699,Premium
337,S000059,2024-10,199,Basic
338,S000059,2024-11,199,Basic
339,S000059,2024-12,199,Basic
340,S000060,2024-09,199,Basic
341,S000060,2024-10,199,Basic
342,S000060,2024-11,199,Basic
343,S000060,2024-12,199,Basic
344,S000061,2024-01,699,Premium
345,S000061,2024-02,699,Premium
346,S000061,2024-03,699,Premium
347,S000061,2024-04,699,Premium
348,S000061,2024-05,699,Premium
349,S000061,2024-06,699,Premium
350,S000061,2024-07,699,Premium
351,S000061,2024-08,699,Premium
352,S000061,2024-09,699,Premium
353,S000061,2024-10,699,Premium
354,S000061,2024-11,699,Premium
355,S000061,2024-12,699,Premium
356,S000062,2024-05,399,Standard
357,S000062,2024-06,399,Standard
358,S000062,2024-07,399,Standard
359,S000062,2024-08,399,Standard
360,S000062,2024-09,399,Standard
361,S000062,2024-10,399,Standard
362,S000062,2024-11,399,Standard
363,S000062,2024-12,399,Standard
364,S000063,2024-04,399,Standard
365,S000063,2024-05,399,Standard
366,S000063,2024-06,399,Standard
367,S000063,2024-07,399,Standard
368,S000063,2024-08,399,Standard
369,S000063,2024-09,399,Standard
370,S000063,2024-10,399,Standard
371,S000063,2024-11,399,Standard
372,S000063,2024-12,399,Standard
373,S000064,2024-09,199,Basic
374,S000064,2024-10,199,Basic
375,S000064,2024-11,199,Basic
376,S000064,2024-12,199,Basic
377,S000065,2024-05,699,Premium
378,S000065,2024-06,699,Premium
379,S000065,2024-07,699,Premium
380,S000065,2024-08,699,Premium
381,S000065,2024-09,699,Premium
382,S000065,2024-10,699,Premium
383,S000065,2024-11,699,Premium
384,S000065,2024-12,699,Premium
385,S000066,2024-09,699,Premium
386,S000066,2024-10,699,Premium
387,S000067,2024-02,399,Standard
388,S000067,2024-03,399,Standard
389,S000067,2024-04,399,Standard
390,S000067,2024-05,399,Standard
391,S000067,2024-06,399,Standard
392,S000067,2024-07,399,Standard
393,S000067,2024-08,399,Standard
394,S000067,2024-09,399,Standard
395,S000067,2024-10,399,Standard
396,S000067,2024-11,399,Standard
397,S000067,2024-12,399,Standard
398,S000068,2024-04,199,Basic
399,S000068,2024-05,199,Basic
400,S000068,2024-06,199,Basic
401,S000068,2024-07,199,Basic
402,S000068,2024-08,199,Basic
403,S000068,2024-09,199,Basic
404,S000068,2024-10,199,Basic
405,S000068,2024-11,199,Basic
406,S000068,2024-12,199,Basic
407,S000069,2024-06,699,Premium
408,S000069,2024-07,699,Premium
409,S000069,2024-08,699,Premium
410,S000069,2024-09,699,Premium
411,S000069,2024-10,699,Premium
412,S000069,2024-11,699,Premium
413,S000069,2024-12,699,Premium
414,S000070,2024-01,399,Standard
415,S000070,2024-02,399,Standard
416,S000070,2024-03,399,Standard
417,S000070,2024-04,399,Standard
418,S000070,2024-05,399,Standard
419,S000070,2024-06,399,Standard
420,S000070,2024-07,399,Standard
421,S000070,2024-08,399,Standard
422,S000070,2024-09,399,Standard
423,S000070,2024-10,399,Standard
424,S000070,2024-11,399,Standard
425,S000070,2024-12,399,Standard
426,S000071,2024-08,399,Standard
427,S000071,2024-09,399,Standard
428,S000071,2024-10,399,Standard
429,S000071,2024-11,399,Standard
430,S000071,2024-12,399,Standard
431,S000072,2024-04,199,Basic
432,S000072,2024-05,199,Basic
433,S000072,2024-06,199,Basic
434,S000072,2024-07,199,Basic
435,S000072,2024-08,199,Basic
436,S000072,2024-09,199,Basic
437,S000072,2024-10,199,Basic
438,S000072,2024-11,199,Basic
439,S000072,2024-12,199,Basic
440,S000073,2024-06,199,Basic
441,S000073,2024-07,199,Basic
442,S000073,2024-08,199,Basic
443,S000073,2024-09,199,Basic
444,S000073,2024-10,199,Basic
445,S000073,2024-11,199,Basic
446,S000073,2024-12,199,Basic
447,S000074,2024-08,199,Basic
448,S000074,2024-09,199,Basic
449,S000074,2024-10,199,Basic
450,S000074,2024-11,199,Basic
451,S000074,2024-12,199,Basic
452,S000075,2024-11,199,Basic
453,S000075,2024-12,199,Basic
454,S000076,2024-08,399,Standard
455,S000076,2024-09,399,Standard
456,S000076,2024-10,399,Standard
457,S000076,2024-11,399,Standard
458,S000076,2024-12,399,Standard
459,S000077,2024-08,699,Premium
460,S000077,2024-09,699,Premium
461,S000077,2024-10,699,Premium
462,S000077,2024-11,699,Premium
463,S000077,2024-12,699,Premium
464,S000078,2024-07,199,Basic
465,S000078,2024-08,199,Basic
466,S000078,2024-09,199,Basic
467,S000078,2024-10,199,Basic
468,S000078,2024-11,199,Basic
469,S000078,2024-12,199,Basic
470,S000079,2024-03,199,Basic
471,S000079,2024-04,199,Basic
472,S000080,2024-11,199,Basic
473,S000080,2024-12,199,Basic
474,S000081,2024-10,399,Standard
475,S000081,2024-11,399,Standard
476,S000081,2024-12,399,Standard
477,S000082,2024-01,399,Standard
478,S000082,2024-02,399,Standard
479,S000082,2024-03,399,Standard
480,S000082,2024-04,399,Standard
481,S000082,2024-05,399,Standard
482,S000082,2024-06,399,Standard
483,S000082,2024-07,399,Standard
484,S000082,2024-08,399,Standard
485,S000082,2024-09,399,Standard
486,S000082,2024-10,399,Standard
487,S000082,2024-11,399,Standard
488,S000082,2024-12,399,Standard
489,S000083,2024-06,199,Basic
490,S000083,2024-07,199,Basic
491,S000083,2024-08,199,Basic
492,S000083,2024-09,199,Basic
493,S000083,2024-10,199,Basic
494,S000083,2024-11,199,Basic
495,S000083,2024-12,199,Basic
496,S000084,2024-11,399,Standard
497,S000084,2024-12,399,Standard
498,S000085,2024-02,399,Standard
499,S000085,2024-03,399,Standard
500,S000085,2024-04,399,Standard
501,S000085,2024-05,399,Standard
502,S000085,2024-06,399,Standard
503,S000085,2024-07,399,Standard
504,S000085,2024-08,399,Standard
505,S000085,2024-09,399,Standard
506,S000085,2024-10,399,Standard
507,S000085,2024-11,399,Standard
508,S000085,2024-12,399,Standard
509,S000086,2024-01,399,Standard
510,S000086,2024-02,399,Standard
511,S000086,2024-03,399,Standard
512,S000086,2024-04,399,Standard
513,S000086,2024-05,399,Standard
514,S000086,2024-06,399,Standard
515,S000086,2024-07,399,Standard
516,S000086,2024-08,399,Standard
517,S000086,2024-09,399,Standard
518,S000086,2024-10,399,Standard
519,S000086,2024-11,399,Standard
520,S000086,2024-12,399,Standard
521,S000087,2024-08,199,Basic
522,S000087,2024-09,199,Basic
523,S000087,2024-10,199,Basic
524,S000087,2024-11,199,Basic
525,S000087,2024-12,199,Basic
526,S000088,2024-10,699,Premium
527,S000088,2024-11,699,Premium
528,S000088,2024-12,699,Premium
529,S000089,2024-08,399,Standard
530,S000089,2024-09,399,Standard
531,S000090,2024-04,699,Premium
532,S000090,2024-05,699,Premium
533,S000090,2024-06,699,Premium
534,S000090,2024-07,699,Premium
535,S000090,2024-08,699,Premium
536,S000090,2024-09,699,Premium
537,S000090,2024-10,699,Premium
538,S000090,2024-11,699,Premium
539,S000090,2024-12,699,Premium
540,S000091,2024-06,699,Premium
541,S000091,2024-07,699,Premium
542,S000091,2024-08,699,Premium
543,S000091,2024-09,699,Premium
544,S000091,2024-10,699,Premium
545,S000091,2024-11,699,Premium
546,S000091,2024-12,699,Premium
547,S000092,2024-02,699,Premium
548,S000092,2024-03,699,Premium
549,S000092,2024-04,699,Premium
550,S000092,2024-05,699,Premium
551,S000092,2024-06,699,Premium
552,S000092,2024-07,699,Premium
553,S000092,2024-08,699,Premium
554,S000092,2024-09,699,Premium
555,S000092,2024-10,699,Premium
556,S000092,2024-11,699,Premium
557,S000092,2024-12,699,Premium
558,S000093,2024-05,399,Standard
559,S000093,2024-06,399,Standard
560,S000093,2024-07,399,Standard
561,S000093,2024-08,399,Standard
562,S000093,2024-09,399,Standard
563,S000093,2024-10,399,Standard
564,S000093,2024-11,399,Standard
565,S000093,2024-12,399,Standard
566,S000094,2024-06,199,Basic
567,S000094,2024-07,199,Basic
568,S000094,2024-08,199,Basic
569,S000094,2024-09,199,Basic
570,S000094,2024-10,199,Basic
571,S000095,2024-09,199,Basic
572,S000095,2024-10,199,Basic
573,S000095,2024-11,199,Basic
574,S000095,2024-12,199,Basic
575,S000096,2024-01,699,Premium
576,S000096,2024-02,699,Premium
577,S000096,2024-03,699,Premium
578,S000096,2024-04,699,Premium
579,S000096,2024-05,699,Premium
580,S000096,2024-06,699,Premium
581,S000096,2024-07,699,Premium
582,S000096,2024-08,699,Premium
583,S000096,2024-09,699,Premium
584,S000096,2024-10,699,Premium
585,S000096,2024-11,699,Premium
586,S000096,2024-12,699,Premium
587,S000097,2024-11,199,Basic
588,S000097,2024-12,199,Basic
589,S000098,2024-12,399,Standard
590,S000099,2024-04,199,Basic
591,S000099,2024-05,199,Basic
592,S000099,2024-06,199,Basic
593,S000099,2024-07,199,Basic
594,S000099,2024-08,199,Basic
595,S000099,2024-09,199,Basic
596,S000099,2024-10,199,Basic
597,S000099,2024-11,199,Basic
598,S000099,2024-12,199,Basic
599,S000100,2024-08,399,Standard
600,S000100,2024-09,399,Standard
601,S000100,2024-10,399,Standard
602,S000100,2024-11,399,Standard
603,S000100,2024-12,399,Standard
604,S000101,2024-10,699,Premium
605,S000101,2024-11,699,Premium
606,S000101,2024-12,699,Premium
607,S000102,2024-06,699,Premium
608,S000102,2024-07,699,Premium
609,S000103,2024-05,699,Premium
610,S000103,2024-06,699,Premium
611,S000103,2024-07,699,Premium
612,S000103,2024-08,699,Premium
613,S000103,2024-09,699,Premium
614,S000104,2024-04,199,Basic
615,S000104,2024-05,199,Basic
616,S000104,2024-06,199,Basic
617,S000104,2024-07,199,Basic
618,S000104,2024-08,199,Basic
619,S000104,2024-09,199,Basic
620,S000104,2024-10,199,Basic
621,S000104,2024-11,199,Basic
622,S000104,2024-12,199,Basic
623,S000105,2024-01,199,Basic
624,S000105,2024-02,199,Basic
625,S000105,2024-03,199,Basic
626,S000105,2024-04,199,Basic
627,S000105,2024-05,199,Basic
628,S000105,2024-06,199,Basic
629,S000105,2024-07,199,Basic
630,S000105,2024-08,199,Basic
631,S000105,2024-09,199,Basic
632,S000105,2024-10,199,Basic
633,S000105,2024-11,199,Basic
634,S000105,2024-12,199,Basic
635,S000106,2024-03,399,Standard
636,S000106,2024-04,399,Standard
637,S000106,2024-05,399,Standard
638,S000106,2024-06,399,Standard
639,S000106,2024-07,399,Standard
640,S000106,2024-08,399,Standard
641,S000106,2024-09,399,Standard
642,S000106,2024-10,399,Standard
643,S000106,2024-11,399,Standard
644,S000106,2024-12,399,Standard
645,S000107,2024-04,699,Premium
646,S000107,2024-05,699,Premium
647,S000107,2024-06,699,Premium
648,S000107,2024-07,699,Premium
649,S000108,2024-07,199,Basic
650,S000108,2024-08,199,Basic
651,S000108,2024-09,199,Basic
652,S000108,2024-10,199,Basic
653,S000108,2024-11,199,Basic
654,S000108,2024-12,199,Basic
655,S000109,2024-03,199,Basic
656,S000109,2024-04,199,Basic
657,S000109,2024-05,199,Basic
658,S000109,2024-06,199,Basic
659,S000109,2024-07,199,Basic
660,S000109,2024-08,199,Basic
661,S000109,2024-09,199,Basic
662,S000109,2024-10,199,Basic
663,S000109,2024-11,199,Basic
664,S000109,2024-12,199,Basic
665,S000110,2024-03,199,Basic
666,S000110,2024-04,199,Basic
667,S000110,2024-05,199,Basic
668,S000110,2024-06,199,Basic
669,S000110,2024-07,199,Basic
670,S000110,2024-08,199,Basic
671,S000110,2024-09,199,Basic
672,S000110,2024-10,199,Basic
673,S000110,2024-11,199,Basic
674,S000110,2024-12,199,Basic
675,S000111,2024-11,199,Basic
676,S000111,2024-12,199,Basic
677,S000112,2024-12,399,Standard
678,S000113,2024-02,399,Standard
679,S000113,2024-03,399,Standard
680,S000113,2024-04,399,Standard
681,S000113,2024-05,399,Standard
682,S000113,2024-06,399,Standard
683,S000113,2024-07,399,Standard
684,S000113,2024-08,399,Standard
685,S000113,2024-09,399,Standard
686,S000113,2024-10,399,Standard
687,S000113,2024-11,399,Standard
688,S000113,2024-12,399,Standard
689,S000114,2024-11,199,Basic
690,S000114,2024-12,199,Basic
691,S000115,2024-10,199,Basic
692,S000115,2024-11,199,Basic
693,S000115,2024-12,199,Basic
694,S000116,2024-01,399,Standard
695,S000116,2024-02,399,Standard
696,S000116,2024-03,399,Standard
697,S000116,2024-04,399,Standard
698,S000116,2024-05,399,Standard
699,S000116,2024-06,399,Standard
700,S000116,2024-07,399,Standard
701,S000116,2024-08,399,Standard
702,S000116,2024-09,399,Standard
703,S000116,2024-10,399,Standard
704,S000116,2024-11,399,Standard
705,S000116,2024-12,399,Standard
706,S000117,2024-06,199,Basic
707,S000117,2024-07,199,Basic
708,S000117,2024-08,199,Basic
709,S000117,2024-09,199,Basic
710,S000117,2024-10,199,Basic
711,S000117,2024-11,199,Basic
712,S000117,2024-12,199,Basic
713,S000118,2024-11,199,Basic
714,S000118,2024-12,199,Basic
715,S000119,2024-12,399,Standard
716,S000120,2024-06,199,Basic
717,S000120,2024-07,199,Basic
718,S000120,2024-08,199,Basic
719,S000120,2024-09,199,Basic
720,S000120,2024-10,199,Basic
721,S000121,2024-06,399,Standard
722,S000121,2024-07,399,Standard
723,S000121,2024-08,399,Standard
724,S000121,2024-09,399,Standard
725,S000121,2024-10,399,Standard
726,S000121,2024-11,399,Standard
727,S000121,2024-12,399,Standard
728,S000122,2024-01,199,Basic
729,S000122,2024-02,199,Basic
730,S000122,2024-03,199,Basic
731,S000122,2024-04,199,Basic
732,S000122,2024-05,199,Basic
733,S000122,2024-06,199,Basic
734,S000122,2024-07,199,Basic
735,S000122,2024-08,199,Basic
736,S000122,2024-09,199,Basic
737,S000122,2024-10,199,Basic
738,S000122,2024-11,199,Basic
739,S000122,2024-12,199,Basic
740,S000123,2024-02,199,Basic
741,S000123,2024-03,199,Basic
742,S000123,2024-04,199,Basic
743,S000123,2024-05,199,Basic
744,S000123,2024-06,199,Basic
745,S000123,2024-07,199,Basic
746,S000123,2024-08,199,Basic
747,S000123,2024-09,199,Basic
748,S000123,2024-10,199,Basic
749,S000123,2024-11,199,Basic
750,S000123,2024-12,199,Basic
751,S000124,2024-08,399,Standard
752,S000124,2024-09,399,Standard
753,S000124,2024-10,399,Standard
754,S000124,2024-11,399,Standard
755,S000124,2024-12,399,Standard
756,S000125,2024-09,199,Basic
757,S000125,2024-10,199,Basic
758,S000125,2024-11,199,Basic
759,S000125,2024-12,199,Basic
760,S000126,2024-09,199,Basic
761,S000126,2024-10,199,Basic
762,S000126,2024-11,199,Basic
763,S000126,2024-12,199,Basic
764,S000127,2024-12,199,Basic
765,S000128,2024-03,699,Premium
766,S000128,2024-04,699,Premium
767,S000128,2024-05,699,Premium
768,S000128,2024-06,699,Premium
769,S000128,2024-07,699,Premium
770,S000128,2024-08,699,Premium
771,S000128,2024-09,699,Premium
772,S000128,2024-10,699,Premium
773,S000128,2024-11,699,Premium
774,S000128,2024-12,699,Premium
775,S000129,2024-06,199,Basic
776,S000129,2024-07,199,Basic
777,S000129,2024-08,199,Basic
778,S000129,2024-09,199,Basic
779,S000129,2024-10,199,Basic
780,S000129,2024-11,199,Basic
781,S000129,2024-12,199,Basic
782,S000130,2024-03,699,Premium
783,S000130,2024-04,699,Premium
784,S000130,2024-05,699,Premium
785,S000130,2024-06,699,Premium
786,S000130,2024-07,699,Premium
787,S000130,2024-08,699,Premium
788,S000130,2024-09,699,Premium
789,S000130,2024-10,699,Premium
790,S000130,2024-11,699,Premium
791,S000130,2024-12,699,Premium
792,S000131,2024-12,199,Basic
793,S000132,2024-07,199,Basic
794,S000132,2024-08,199,Basic
795,S000132,2024-09,199,Basic
796,S000132,2024-10,199,Basic
797,S000132,2024-11,199,Basic
798,S000132,2024-12,199,Basic
799,S000133,2024-12,399,Standard
800,S000134,2024-03,399,Standard
801,S000134,2024-04,399,Standard
802,S000134,2024-05,399,Standard
803,S000134,2024-06,399,Standard
804,S000134,2024-07,399,Standard
805,S000134,2024-08,399,Standard
806,S000134,2024-09,399,Standard
807,S000134,2024-10,399,Standard
808,S000134,2024-11,399,Standard
809,S000134,2024-12,399,Standard
810,S000135,2024-08,199,Basic
811,S000135,2024-09,199,Basic
812,S000135,2024-10,199,Basic
813,S000135,2024-11,199,Basic
814,S000135,2024-12,199,Basic
815,S000136,2024-06,399,Standard
816,S000136,2024-07,399,Standard
817,S000136,2024-08,399,Standard
818,S000137,2024-05,699,Premium
819,S000137,2024-06,699,Premium
820,S000137,2024-07,699,Premium
