subscriber_id,region,device_type,plan_type,join_date,churn_date,monthly_revenue
S000103,North India,Smart TV,Premium,2024-05-08,2024-09-07,699
S000104,North India,Smart TV,Basic,2024-04-03,,199
S000105,West India,Smart TV,Basic,2024-01-17,,199
S000106,South India,Tablet,Standard,2024-03-22,,399
S000107,East India,Laptop,Premium,2024-04-25,2024-07-22,699
S000108,South India,Laptop,Basic,2024-07-11,,199
S000109,East India,Smart TV,Basic,2024-03-08,,199
S000110,East India,Mobile,Basic,2024-03-16,,199
S000111,Maharashtra,Smart TV,Basic,2024-11-22,,199
S000112,South India,Mobile,Standard,2024-12-27,,399
S000113,Karnataka,Mobile,Standard,2024-02-10,,399
S000114,East India,Smart TV,Basic,2024-11-19,,199
S000115,Maharashtra,Laptop,Basic,2024-10-06,,199
S000116,East India,Smart TV,Standard,2024-01-24,,399
S000117,Maharashtra,Mobile,Basic,2024-06-29,,199
S000118,Maharashtra,Smart TV,Basic,2024-11-13,,199
S000119,Karnataka,Mobile,Standard,2024-12-22,,399
S000120,Karnataka,Laptop,Basic,2024-06-27,2024-10-10,199
S000121,South India,Mobile,Standard,2024-06-17,,399
S000122,East India,Mobile,Basic,2024-01-25,,199
S000123,Karnataka,Smart TV,Basic,2024-02-16,,199
S000124,South India,Laptop,Standard,2024-08-28,,399
S000125,North India,Desktop,Basic,2024-09-11,,199
S000126,West India,Smart TV,Basic,2024-09-29,,199
S000127,North India,Mobile,Basic,2024-12-22,2025-03-26,199
S000128,East India,Laptop,Premium,2024-03-28,,699
S000129,North India,Mobile,Basic,2024-06-15,,199
S000130,Karnataka,Laptop,Premium,2024-03-13,,699
S000131,West India,Laptop,Basic,2024-12-02,,199
S000132,East India,Smart TV,Basic,2024-07-10,,199
S000133,South India,Mobile,Standard,2024-12-17,,399
S000134,Karnataka,Laptop,Standard,2024-03-18,,399
S000135,East India,Laptop,Basic,2024-08-03,,199
S000136,Karnataka,Mobile,Standard,2024-06-16,2024-08-11,399
S000137,East India,Tablet,Premium,2024-05-26,,699
S000138,South India,Tablet,Premium,2024-04-04,,699
S000139,East India,Tablet,Standard,2024-11-23,,399
S000140,West India,Mobile,Premium,2024-06-27,2024-10-06,699
S000141,East India,Smart TV,Basic,2024-02-22,,199
S000142,Karnataka,Smart TV,Premium,2024-01-05,,699
S000143,North India,Laptop,Basic,2024-02-02,,199
S000144,North India,Smart TV,Basic,2024-02-16,,199
S000145,Karnataka,Smart TV,Standard,2024-03-19,2024-09-11,399
S000146,South India,Tablet,Premium,2024-10-06,,699
S000147,North India,Mobile,Basic,2024-03-02,,199
S000148,South India,Laptop,Standard,2024-11-13,,399
S000149,East India,Smart TV,Basic,2024-08-06,,199
S000150,West India,Smart TV,Standard,2024-10-17,,399
S000151,East India,Mobile,Standard,2024-06-02,,399
S000152,East India,Smart TV,Premium,2024-02-10,2024-06-26,699
S000153,Karnataka,Mobile,Standard,2024-11-04,2025-02-08,399
S000154,North India,Smart TV,Standard,2024-12-17,,399
S000155,North India,Mobile,Basic,2024-09-14,,199
S000156,Karnataka,Tablet,Basic,2024-11-04,,199
S000157,South India,Smart TV,Basic,2024-09-04,,199
S000158,North India,Smart TV,Basic,2024-10-27,,199
S000159,Maharashtra,Smart TV,Premium,2024-05-17,,699
S000160,North India,Smart TV,Standard,2024-09-18,,399
S000161,North India,Smart TV,Standard,2024-06-26,2024-10-18,399
S000162,East India,Mobile,Basic,2024-04-02,,199
S000163,North India,Mobile,Standard,2024-09-29,,399
S000164,Maharashtra,Tablet,Standard,2024-06-16,,399
S000165,Maharashtra,Mobile,Standard,2024-02-16,2024-07-04,399
S000166,East India,Mobile,Premium,2024-07-21,,699
S000167,South India,Tablet,Standard,2024-01-16,2024-04-02,399
S000168,Maharashtra,Laptop,Basic,2024-06-12,,199
S000169,East India,Smart TV,Basic,2024-12-23,,199
S000170,Karnataka,Laptop,Basic,2024-07-27,,199
S000171,Maharashtra,Laptop,Basic,2024-10-10,,199
S000172,South India,Mobile,Standard,2024-12-06,,399
S000173,West India,Mobile,Standard,2024-06-16,,399
S000174,Karnataka,Laptop,Standard,2024-01-18,,399
S000175,Maharashtra,Smart TV,Standard,2024-07-23,,399
S000176,East India,Smart TV,Basic,2024-07-25,,199
S000177,Maharashtra,Mobile,Standard,2024-04-11,,399
S000178,East India,Laptop,Basic,2024-01-21,,199
S000179,North India,Mobile,Standard,2024-10-17,,399
S000180,North India,Smart TV,Basic,2024-11-07,,199
S000181,Maharashtra,Mobile,Basic,2024-02-21,,199
S000182,Karnataka,Smart TV,Premium,2024-12-17,,699
S000183,North India,Mobile,Standard,2024-10-21,,399
S000184,Karnataka,Smart TV,Basic,2024-04-18,,199
S000185,East India,Smart TV,Standard,2024-03-27,,399
S000186,Maharashtra,Laptop,Basic,2024-10-11,,199
S000187,Maharashtra,Laptop,Basic,2024-04-21,2024-10-12,199
S000188,Karnataka,Mobile,Standard,2024-01-18,,399
S000189,East India,Mobile,Basic,2024-08-22,,199
S000190,North India,Mobile,Basic,2024-04-24,,199
S000191,East India,Mobile,Basic,2024-06-15,2024-11-18,199
S000192,Maharashtra,Smart TV,Standard,2024-05-31,,399
S000193,South India,Mobile,Standard,2024-01-19,,399
S000194,South India,Mobile,Standard,2024-05-20,,399
S000195,Maharashtra,Mobile,Premium,2024-02-17,,699
S000196,Maharashtra,Smart TV,Basic,2024-10-08,,199
S000197,Maharashtra,Laptop,Premium,2024-01-07,,699
S000198,Maharashtra,Smart TV,Standard,2024-06-19,2024-11-26,399
S000199,North India,Smart TV,Standard,2024-05-23,2024-09-02,399
S000200,North India,Smart TV,Premium,2024-12-29,,699
S000201,Maharashtra,Smart TV,Standard,2024-05-26,,399
S000202,South India,Tablet,Basic,2024-01-30,,199
S000203,West India,Mobile,Basic,2024-08-11,2024-09-15,199
S000204,North India,Mobile,Standard,2024-11-30,2025-02-24,399
S000205,West India,Desktop,Basic,2024-02-14,,199
S000206,East India,Smart TV,Standard,2024-08-08,,399
S000207,West India,Smart TV,Basic,2024-02-28,,199
S000208,East India,Smart TV,Standard,2024-05-01,,399
S000209,West India,Smart TV,Premium,2024-09-12,,699
S000210,North India,Smart TV,Basic,2024-07-25,2025-01-06,199
S000211,South India,Laptop,Standard,2024-11-13,,399
S000212,Maharashtra,Smart TV,Basic,2024-07-29,,199
S000213,South India,Tablet,Standard,2024-08-07,,399
S000214,West India,Tablet,Standard,2024-10-03,,399
S000215,South India,Smart TV,Standard,2024-03-02,,399
S000216,East India,Mobile,Standard,2024-01-16,,399
S000217,South India,Smart TV,Standard,2024-04-03,,399
S000218,South India,Smart TV,Basic,2024-03-21,,199
S000219,North India,Mobile,Premium,2024-05-25,,699
S000220,East India,Smart TV,Standard,2024-08-26,,399
S000221,Maharashtra,Laptop,Basic,2024-06-21,,199
S000222,South India,Laptop,Basic,2024-12-21,,199
S000223,West India,Laptop,Premium,2024-10-05,,699
S000224,North India,Smart TV,Standard,2024-06-09,,399
S000225,Maharashtra,Smart TV,Basic,2024-04-05,,199
S000226,Karnataka,Tablet,Premium,2024-06-24,,699
S000227,South India,Laptop,Basic,2024-04-13,,199
S000228,Karnataka,Mobile,Basic,2024-06-30,,199
S000229,East India,Laptop,Premium,2024-10-25,,699
S000230,Maharashtra,Mobile,Premium,2024-12-30,,699
S000231,Karnataka,Smart TV,Premium,2024-07-05,,699
S000232,Karnataka,Mobile,Basic,2024-10-30,,199
S000233,West India,Mobile,Standard,2024-04-23,,399
S000234,Maharashtra,Tablet,Premium,2024-08-22,2024-09-23,699
S000235,East India,Smart TV,Standard,2024-01-25,2024-03-23,399
S000236,East India,Tablet,Standard,2024-06-01,,399
S000237,East India,Smart TV,Basic,2024-07-01,,199
S000238,North India,Smart TV,Basic,2024-02-19,,199
S000239,Maharashtra,Laptop,Premium,2024-01-14,2024-06-30,699
S000240,Maharashtra,Smart TV,Standard,2024-07-28,2024-11-09,399
S000241,North India,Mobile,Basic,2024-02-28,,199
S000242,West India,Smart TV,Standard,2024-11-16,,399
S000243,North India,Laptop,Basic,2024-08-01,,199
S000244,East India,Smart TV,Basic,2024-04-21,2024-07-18,199
S000245,East India,Smart TV,Basic,2024-01-20,,199
S000246,Maharashtra,Laptop,Premium,2024-01-13,,699
S000247,West India,Smart TV,Standard,2024-01-26,,399
S000248,West India,Tablet,Basic,2024-01-08,2024-06-13,199
S000249,Maharashtra,Desktop,Premium,2024-11-13,,699
S000250,North India,Desktop,Standard,2024-06-03,,399
S000251,North India,Smart TV,Basic,2024-08-21,,199
S000252,Maharashtra,Desktop,Premium,2024-08-09,2025-01-09,699
S000253,Maharashtra,Mobile,Premium,2024-03-04,,699
S000254,South India,Smart TV,Basic,2024-03-11,,199
S000255,Maharashtra,Smart TV,Basic,2024-08-03,2024-10-23,199
S000256,East India,Mobile,Premium,2024-10-22,2025-01-15,699
S000257,West India,Smart TV,Basic,2024-12-15,2025-05-31,199
S000258,Karnataka,Tablet,Standard,2024-02-05,,399
S000259,Karnataka,Smart TV,Standard,2024-06-14,,399
S000260,Maharashtra,Smart TV,Basic,2024-10-28,,199
S000261,West India,Mobile,Standard,2024-05-07,2024-09-12,399
S000262,South India,Laptop,Basic,2024-05-24,,199
S000263,Karnataka,Laptop,Basic,2024-07-02,,199
S000264,Maharashtra,Desktop,Standard,2024-04-15,,399
S000265,Maharashtra,Laptop,Premium,2024-05-27,2024-09-15,699
S000266,North India,Tablet,Basic,2024-02-07,,199
S000267,North India,Smart TV,Basic,2024-10-21,,199
S000268,Maharashtra,Smart TV,Premium,2024-12-30,,699
S000269,Karnataka,Mobile,Standard,2024-07-06,,399
S000270,East India,Mobile,Standard,2024-10-07,,399
S000271,East India,Mobile,Standard,2024-08-07,,399
S000272,Maharashtra,Smart TV,Basic,2024-08-13,,199
S000273,East India,Tablet,Standard,2024-11-13,2025-01-13,399
S000274,Maharashtra,Laptop,Premium,2024-03-16,,699
S000275,Karnataka,Smart TV,Basic,2024-12-10,2025-02-08,199
S000276,South India,Laptop,Standard,2024-01-13,,399
S000277,West India,Smart TV,Standard,2024-07-23,,399
S000278,South India,Tablet,Basic,2024-09-29,,199
S000279,South India,Laptop,Premium,2024-11-23,,699
S000280,North India,Laptop,Standard,2024-08-16,,399
S000281,North India,Laptop,Standard,2024-09-02,,399
S000282,South India,Mobile,Premium,2024-08-08,,699
S000283,East India,Smart TV,Basic,2024-05-28,2024-09-15,199
S000284,Maharashtra,Mobile,Premium,2024-07-20,,699
S000285,Karnataka,Desktop,Basic,2024-11-08,,199
S000286,North India,Mobile,Standard,2024-11-26,,399
S000287,East India,Mobile,Basic,2024-08-24,2025-02-05,199
S000288,East India,Laptop,Basic,2024-08-19,,199
S000289,South India,Laptop,Basic,2024-09-29,,199
S000290,South India,Mobile,Standard,2024-02-25,,399
S000291,East India,Mobile,Standard,2024-11-05,2025-03-29,399
S000292,West India,Smart TV,Basic,2024-03-03,2024-07-13,199
S000293,South India,Smart TV,Standard,2024-07-02,,399
S000294,South India,Tablet,Standard,2024-08-31,,399
S000295,North India,Laptop,Basic,2024-09-25,2024-11-25,199
S000296,East India,Mobile,Standard,2024-03-23,,399
S000297,South India,Desktop,Basic,2024-10-10,,199
S000298,Karnataka,Mobile,Standard,2024-07-26,,399
S000299,Karnataka,Smart TV,Basic,2024-07-02,,199
S000300,Karnataka,Mobile,Premium,2024-03-07,,699
S000301,East India,Mobile,Premium,2024-12-25,,699
S000302,East India,Mobile,Basic,2024-10-09,2024-11-22,199
S000303,South India,Tablet,Standard,2024-10-08,,399
S000304,North India,Smart TV,Premium,2024-03-27,,699
S000305,North India,Laptop,Standard,2024-05-28,,399
S000306,South India,Mobile,Basic,2024-10-20,,199
S000307,North India,Smart TV,Standard,2024-10-28,,399
S000308,West India,Smart TV,Basic,2024-12-28,,199
S000309,East India,Smart TV,Basic,2024-08-14,,199
S000310,Maharashtra,Mobile,Standard,2024-06-28,2024-09-26,399
S000311,Maharashtra,Mobile,Basic,2024-02-06,2024-06-16,199
S000312,West India,Smart TV,Premium,2024-01-02,,699
S000313,Maharashtra,Smart TV,Premium,2024-04-17,2024-08-14,699
S000314,North India,Mobile,Basic,2024-08-07,,199
S000315,West India,Mobile,Standard,2024-07-02,,399
S000316,North India,Mobile,Standard,2024-10-04,,399
S000317,North India,Mobile,Standard,2024-06-30,,399
S000318,North India,Mobile,Premium,2024-07-26,,699
S000319,Karnataka,Tablet,Basic,2024-05-24,,199
S000320,Maharashtra,Smart TV,Standard,2024-01-14,,399
S000321,Maharashtra,Mobile,Standard,2024-09-25,,399
S000322,North India,Smart TV,Basic,2024-07-15,,199
S000323,West India,Mobile,Standard,2024-10-29,,399
S000324,North India,Tablet,Standard,2024-08-29,,399
S000325,East India,Mobile,Premium,2024-02-13,2024-04-01,699
S000326,South India,Laptop,Standard,2024-04-09,,399
S000327,East India,Desktop,Premium,2024-11-12,,699
S000328,South India,Smart TV,Basic,2024-06-12,,199
S000329,East India,Mobile,Basic,2024-08-26,,199
S000330,Maharashtra,Laptop,Premium,2024-12-11,,699
S000331,East India,Mobile,Basic,2024-05-15,,199
S000332,East India,Smart TV,Basic,2024-09-20,2025-02-04,199
S000333,South India,Mobile,Basic,2024-10-12,,199
S000334,Karnataka,Mobile,Standard,2024-02-29,,399
S000335,West India,Smart TV,Premium,2024-05-01,,699
S000336,South India,Smart TV,Premium,2024-10-14,,699
S000337,East India,Smart TV,Basic,2024-07-30,,199
S000338,West India,Mobile,Premium,2024-10-25,,699
S000339,East India,Tablet,Basic,2024-08-01,,199
S000340,East India,Laptop,Basic,2024-09-03,,199
S000341,North India,Smart TV,Premium,2024-03-16,,699
S000342,East India,Tablet,Basic,2024-11-24,,199
S000343,North India,Mobile,Basic,2024-09-12,,199
S000344,South India,Mobile,Basic,2024-01-25,,199
S000345,East India,Smart TV,Basic,2024-05-06,2024-08-21,199
S000346,Maharashtra,Laptop,Basic,2024-04-08,,199
S000347,South India,Tablet,Premium,2024-07-27,,699
S000348,North India,Mobile,Basic,2024-02-23,,199
S000349,Karnataka,Laptop,Premium,2024-07-05,,699
S000350,West India,Smart TV,Basic,2024-08-26,2024-12-09,199
S000351,Karnataka,Mobile,Premium,2024-05-09,2024-07-04,699
S000352,North India,Mobile,Basic,2024-05-20,,199
S000353,Maharashtra,Mobile,Basic,2024-10-18,,199
S000354,West India,Mobile,Basic,2024-04-27,,199
S000355,Maharashtra,Tablet,Basic,2024-09-26,,199
S000356,West India,Laptop,Standard,2024-10-11,,399
S000357,Maharashtra,Laptop,Standard,2024-04-15,,399
S000358,West India,Smart TV,Basic,2024-05-27,,199
S000359,Karnataka,Smart TV,Basic,2024-05-25,2024-10-01,199
S000360,Karnataka,Mobile,Standard,2024-05-20,,399
S000361,East India,Smart TV,Premium,2024-11-24,,699
S000362,North India,Smart TV,Premium,2024-11-30,,699
S000363,Karnataka,Smart TV,Basic,2024-01-05,,199
S000364,South India,Mobile,Basic,2024-11-19,,199
S000365,East India,Mobile,Basic,2024-04-04,,199
S000366,Maharashtra,Smart TV,Basic,2024-06-11,,199
S000367,West India,Smart TV,Premium,2024-10-14,,699
S000368,Karnataka,Mobile,Standard,2024-09-29,,399
S000369,Maharashtra,Laptop,Basic,2024-03-28,,199
S000370,North India,Tablet,Basic,2024-11-01,,199
S000371,Maharashtra,Laptop,Premium,2024-11-16,,699
S000372,East India,Mobile,Basic,2024-10-06,,199
S000373,East India,Mobile,Premium,2024-06-19,,699
S000374,South India,Smart TV,Standard,2024-06-30,,399
S000375,Maharashtra,Smart TV,Basic,2024-06-14,2024-10-17,199
S000376,North India,Laptop,Premium,2024-08-12,,699
S000377,North India,Laptop,Basic,2024-09-02,2024-10-23,199
S000378,South India,Smart TV,Basic,2024-02-10,,199
S000379,North India,Smart TV,Basic,2024-03-13,,199
S000380,South India,Smart TV,Premium,2024-06-24,2024-09-21,699
S000381,South India,Mobile,Standard,2024-06-07,,399
S000382,Maharashtra,Mobile,Premium,2024-06-04,,699
S000383,South India,Smart TV,Basic,2024-05-25,2024-10-29,199
S000384,Karnataka,Smart TV,Basic,2024-02-05,,199
S000385,North India,Laptop,Standard,2024-12-21,,399
S000386,Maharashtra,Mobile,Standard,2024-10-20,,399
S000387,Karnataka,Smart TV,Basic,2024-05-28,,199
S000388,Karnataka,Mobile,Basic,2024-12-02,,199
S000389,West India,Smart TV,Basic,2024-01-15,2024-04-07,199
S000390,East India,Mobile,Basic,2024-12-08,,199
S000391,North India,Smart TV,Premium,2024-09-01,,699
S000392,Maharashtra,Desktop,Basic,2024-07-08,,199
S000393,North India,Smart TV,Standard,2024-07-19,,399
S000394,North India,Smart TV,Standard,2024-11-20,,399
S000395,East India,Smart TV,Basic,2024-12-08,2025-03-01,199
S000396,East India,Laptop,Premium,2024-04-08,,699
S000397,South India,Laptop,Basic,2024-04-20,,199
S000398,North India,Smart TV,Standard,2024-01-29,,399
S000399,Maharashtra,Mobile,Basic,2024-12-29,,199
S000400,Karnataka,Mobile,Premium,2024-08-30,,699
S000401,West India,Smart TV,Standard,2024-07-06,,399
S000402,West India,Smart TV,Standard,2024-12-07,,399
S000403,East India,Mobile,Standard,2024-04-24,,399
S000404,East India,Smart TV,Standard,2024-07-29,,399
S000405,East India,Tablet,Standard,2024-09-23,,399
S000406,Karnataka,Smart TV,Standard,2024-10-01,,399
S000407,East India,Mobile,Standard,2024-08-07,,399
S000408,Maharashtra,Desktop,Premium,2024-09-19,,699
S000409,East India,Tablet,Standard,2024-12-23,,399
S000410,North India,Desktop,Standard,2024-11-04,,399
S000411,Karnataka,Smart TV,Premium,2024-02-23,,699
S000412,East India,Smart TV,Premium,2024-01-07,,699
S000413,East India,Desktop,Standard,2024-10-05,,399
S000414,North India,Smart TV,Basic,2024-02-23,,199
S000415,East India,Smart TV,Basic,2024-10-12,,199
S000416,Karnataka,Tablet,Basic,2024-04-02,,199
S000417,Maharashtra,Smart TV,Basic,2024-04-15,,199
S000418,South India,Laptop,Standard,2024-11-15,,399
S000419,North India,Smart TV,Basic,2024-06-17,,199
S000420,North India,Mobile,Standard,2024-08-17,,399
S000421,East India,Laptop,Basic,2024-01-04,,199
S000422,North India,Mobile,Basic,2024-03-11,,199
S000423,East India,Laptop,Basic,2024-10-18,,199
S000424,Maharashtra,Mobile,Standard,2024-05-25,,399
S000425,Maharashtra,Mobile,Basic,2024-07-05,,199
S000426,Karnataka,Mobile,Premium,2024-02-08,,699
S000427,West India,Laptop,Basic,2024-04-17,,199
S000428,South India,Mobile,Basic,2024-09-09,2025-01-06,199
S000429,East India,Smart TV,Standard,2024-07-18,,399
S000430,South India,Laptop,Standard,2024-12-22,2025-02-22,399
S000431,Karnataka,Mobile,Premium,2024-06-03,,699
S000432,Maharashtra,Smart TV,Premium,2024-06-09,,699
S000433,East India,Smart TV,Standard,2024-06-20,2024-07-22,399
S000434,East India,Mobile,Standard,2024-07-04,,399
S000435,South India,Laptop,Basic,2024-07-28,,199
S000436,South India,Laptop,Standard,2024-06-20,,399
S000437,Karnataka,Mobile,Standard,2024-02-24,,399
S000438,North India,Mobile,Basic,2024-06-27,,199
S000439,Maharashtra,Smart TV,Premium,2024-08-02,,699
S000440,Maharashtra,Mobile,Basic,2024-10-21,,199
S000441,East India,Mobile,Basic,2024-09-22,,199
S000442,East India,Smart TV,Basic,2024-03-17,,199
S000443,East India,Mobile,Premium,2024-12-05,,699
S000444,East India,Tablet,Basic,2024-12-08,,199
S000445,Karnataka,Laptop,Standard,2024-11-28,2025-03-08,399
S000446,North India,Mobile,Premium,2024-04-22,,699
S000447,North India,Tablet,Standard,2024-07-18,,399
S000448,Karnataka,Mobile,Premium,2024-07-06,2024-11-24,699
S000449,Maharashtra,Tablet,Basic,2024-06-19,,199
S000450,South India,Laptop,Basic,2024-05-20,2024-07-16,199
S000451,East India,Laptop,Basic,2024-04-01,,199
S000452,Karnataka,Desktop,Basic,2024-08-07,,199
S000453,Karnataka,Smart TV,Basic,2024-01-06,,199
S000454,South India,Laptop,Basic,2024-05-27,,199
S000455,Maharashtra,Mobile,Standard,2024-06-23,,399
S000456,Maharashtra,Laptop,Basic,2024-07-21,,199
S000457,North India,Smart TV,Premium,2024-02-14,,699
S000458,Karnataka,Mobile,Standard,2024-08-01,,399
S000459,East India,Smart TV,Premium,2024-08-07,,699
S000460,North India,Desktop,Standard,2024-06-28,,399
S000461,Karnataka,Smart TV,Premium,2024-05-06,,699
S000462,East India,Smart TV,Standard,2024-11-05,2025-01-01,399
S000463,Karnataka,Tablet,Basic,2024-08-23,,199
S000464,East India,Laptop,Premium,2024-03-05,,699
S000465,East India,Mobile,Basic,2024-12-17,,199
S000466,East India,Smart TV,Basic,2024-11-08,,199
S000467,South India,Mobile,Basic,2024-10-29,2025-04-11,199
S000468,Maharashtra,Smart TV,Standard,2024-12-12,,399
S000469,Maharashtra,Smart TV,Basic,2024-10-22,,199
S000470,North India,Laptop,Basic,2024-09-02,,199
S000471,East India,Mobile,Basic,2024-02-27,2024-08-08,199
S000472,East India,Mobile,Standard,2024-03-15,,399
S000473,Maharashtra,Mobile,Basic,2024-05-31,2024-10-23,199
S000474,Maharashtra,Smart TV,Basic,2024-01-01,,199
S000475,Maharashtra,Laptop,Basic,2024-12-10,,199
S000476,North India,Smart TV,Basic,2024-01-16,,199
S000477,South India,Mobile,Basic,2024-12-01,,199
S000478,Karnataka,Smart TV,Standard,2024-05-13,,399
S000479,South India,Smart TV,Basic,2024-02-08,,199
S000480,North India,Smart TV,Basic,2024-03-28,,199
S000481,North India,Mobile,Basic,2024-06-16,,199
S000482,West India,Laptop,Basic,2024-05-22,,199
S000483,South India,Laptop,Standard,2024-03-19,,399
S000484,North India,Tablet,Basic,2024-04-18,,199
S000485,Maharashtra,Mobile,Basic,2024-09-12,,199
S000486,Maharashtra,Laptop,Premium,2024-10-24,,699
